Code,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific.name,DBH,DBHClass,Native,BehaviourType,Type
S10,19/07/2024,10:06,10:26,20,1,2,Friday,HOSP,Passer domesticus,Perch,10:18,Norway maple,Acer platanoides,35,Large,No,Rest,Street
S10,19/07/2024,10:06,10:26,20,1,2,Friday,HOSP,Passer domesticus,Perch,10:18,Norway maple,Acer platanoides,35,Large,No,Rest,Street
S10,19/07/2024,10:06,10:26,20,1,2,Friday,HOSP,Passer domesticus,Perch,10:23,Norway maple,Acer platanoides,35,Large,No,Rest,Street
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,HOSP,Passer domesticus,Perch,8:50,Norway maple,Acer platanoides,35,Large,No,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,EUST,Sturnus vulgaris,Bill wipe,8:52,Norway maple,Acer platanoides,35,Large,No,Grooming,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,EUST,Sturnus vulgaris,Perch,8:54,Norway maple,Acer platanoides,35,Large,No,Rest,Yard
Y49,23/05/2024,8:36,8:57,21,4,3,Thursday,CHSP,Spizella passerina,Perch,8:57,Norway maple,Acer platanoides,35,Large,No,Rest,Yard
Y49,25/06/2024,9:10,9:30,21,1,2,Tuesday,HOSP,Passer domesticus,Peck,9:12,Norway maple,Acer platanoides,35,Large,No,Foraging,Yard
Y49,25/06/2024,9:10,9:30,21,1,2,Tuesday,HOSP,Passer domesticus,Perch,9:14,Norway maple,Acer platanoides,35,Large,No,Rest,Yard
Y49,25/06/2024,9:10,9:30,21,1,2,Tuesday,HOSP,Passer domesticus,Perch,9:16,Norway maple,Acer platanoides,35,Large,No,Rest,Yard
Y49,25/06/2024,9:10,9:30,21,1,2,Tuesday,HOSP,Passer domesticus,Perch,9:16,Norway maple,Acer platanoides,35,Large,No,Rest,Yard
S20,19/07/2024,9:12,9:32,20,1,2,Friday,CHSP,Spizella passerina,Vocalize,9:14,Norway maple,Acer platanoides,38,Large,No,Territory_defense,Street
S10,03/06/2024,7:20,7:40,21,1,2,Monday,HOSP,Passer domesticus,Vocalize,7:37,Norway maple,Acer platanoides,40,Large,No,Territory_defense,Street
S03,26/06/2024,8:20,8:40,21,3,3,Wednesday ,BCCH,Poecile atricapillus,Vocalize,8:29,Norway maple,Acer platanoides,40,Large,No,Territory_defense,Street
S03,26/06/2024,8:20,8:40,21,3,3,Wednesday ,BCCH,Poecile atricapillus,Vocalize,8:29,Norway maple,Acer platanoides,40,Large,No,Territory_defense,Street
S03,26/06/2024,8:20,8:40,21,3,3,Wednesday ,NOCA,Cardinalis cardinalis,Vocalize,8:40,Norway maple,Acer platanoides,40,Large,No,Territory_defense,Street
Y31,11/06/2024,8:59,9:19,12,4,2,Tuesday,AMGO,Spinus tristis,Perch,9:15,Norway maple,Acer platanoides,42,Large,No,Rest,Yard
Y31,11/06/2024,8:59,9:19,12,4,2,Tuesday,AMGO,Spinus tristis,Perch,9:15,Norway maple,Acer platanoides,42,Large,No,Rest,Yard
Y31,18/07/2024,8:51,9:11,20,2,3,Thursday,HOSP,Passer domesticus,Perch,8:51,Norway maple,Acer platanoides,42,Large,No,Rest,Yard
S17,05/06/2024,8:46,9:06,21,1,2,Wednesday ,AMRO,Turdus migratorius,Perch,9:05,Norway maple,Acer platanoides,44,Large,No,Rest,Street
Y31,11/06/2024,8:59,9:19,12,4,2,Tuesday,AMRO,Turdus migratorius,Perch,9:07,Norway maple,Acer platanoides,45,Large,No,Rest,Yard
Y31,02/07/2024,8:21,8:41,21,1,2,Tuesday,BCCH,Poecile atricapillus,Vocalize,8:27,Norway maple,Acer platanoides,45,Large,No,Territory_defense,Yard
S19,26/06/2024,7:19,7:39,21,2,3,Wednesday ,NOCA,Cardinalis cardinalis,Vocalize,7:27,Norway maple,Acer platanoides,47,Large,No,Territory_defense,Street
S19,19/07/2024,8:48,9:08,18,1,2,Friday,AMRO,Turdus migratorius,Vocalize,8:51,Norway maple,Acer platanoides,47,Large,No,Territory_defense,Street
S19,19/07/2024,8:48,9:08,18,1,2,Friday,AMRO,Turdus migratorius,Preen,8:53,Norway maple,Acer platanoides,47,Large,No,Grooming,Street
