"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH..cm.","Notes","X","Type","IsHedge","Basal.density","BehaviourType","DBH"
"Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Court","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes",5.1747616,"Reproduction",NA
"Y05","30/05/2024","8:10","8:30",11,1,1,"Thursday","NOCA","Cardinalis cardinalis","Vocalize","8:29","Japanese yew","Taxus cuspidata",5,"","","Yard","Yes",5.1747616,"Territory_defense",NA
"Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:42","Feeder",NA,NA,"Y20 no longer has a hedge. Lots of BCCH in the neighbours yard. SOSP in neighbours yard. NOCA and SOSP in neighbours street tree. ","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","HOSP","Passer domesticus","Feeder","8:57","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y20","30/05/2024","8:41","9:01",12,1,1,"Thursday","CHSP","Spizella passerina","Feeder","8:58","Feeder",NA,NA,"","","Yard","No",44.9160733,"Anthropogenic_interaction",NA
"Y03 ","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:12","Nootka cypress","Cupressus nootkatensis",15,"Lots of bees, GREG flyover. NOCA and X2 CHSP in street tree. REVI and BHVI heard. SOSP possibly nesting on the ground in the Beautybush. ","","Yard","No",NA,"Territory_defense",NA
"Y03 ","30/05/2024","9:08","9:20",15,1,2,"Thursday","SOSP","Melospiza melodia","Vocalize","9:14","Nootka cypress","Cupressus nootkatensis",15,"","","Yard","No",NA,"Territory_defense",NA
