"Code","Date","Start.Time","End.Time","Temperature...C.","Cloud.Cover.code","Beaufort.scale","Day.of.Week","Species","Bird.Scientific.Name","Behaviour","Time.of.Observation","Plant.species","Scientific.Name","DBH","Notes","BehaviourType","Type","IsHedge","Basal.density"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:32","Red ash","Fraxinus pennsylvanica","30","","Reproduction","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Collect nesting material","9:34","Ground",NA,"5","","Reproduction","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Preen","9:34","Red ash","Fraxinus pennsylvanica","30","","Grooming","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Perch","9:38","Common hackberry","Celtis occidentalis","5","","Rest","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Vocalize","9:38","Common hackberry","Celtis occidentalis","5","","Territory_defense","Street","NA","NA"
"S09","24/05/2024","9:18","9:38",17,1,4,"Friday","HOSP","Passer domesticus","Bill wipe","9:38","Common hackberry","Celtis occidentalis","5","","Grooming","Street","NA","NA"
"S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","WBNU","Sitta carolinensis","Peck","8:38","Silver maple","Acer saccharinum","85","Large tree farthest from the intersection","Foraging","Street","NA","NA"
"S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","HOSP","Passer domesticus","Bill wipe","8:46","Silver maple","Acer saccharinum","66","Young, round tree in the middle of the transect","Grooming","Street","NA","NA"
"S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","HOSP","Passer domesticus","Vocalize","8:46","Silver maple","Acer saccharinum","66","","Territory_defense","Street","NA","NA"
"S21","28/05/2024","8:29","8:49",18,4,4,"Tuesday","AMRO","Turdus migratorius","Vocalize","8:48","Kentucky coffeetree","Gymnocladus dioicus","7","Windy. Heard REVI and CEDW flock vocalizations","Territory_defense","Street","NA","NA"
"S19","28/05/2024","9:03","9:23",17,4,4,"Tuesday",NA,"","","","","","","Windy.","NA","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:58","Ground",NA,NA,"Construction","Foraging","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","EUST","Sturnus vulgaris","Gape","7:58","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","7:59","European linden","Tilia × europaea","54","","Rest","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","7:59","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:00","Silver maple","Acer saccharinum","4","","Rest","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:01","Common hackberry","Celtis occidentalis","16","","Rest","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:01","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:01","Common hackberry","Celtis occidentalis","16","","Rest","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:01","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:05","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S15","29/05/2024","7:54","8:14",13,1,2,"Wednesday ","HOSP","Passer domesticus","Peck","8:05","Ground",NA,NA,"","Foraging","Street","NA","NA"
"S14","29/05/2024","8:41","9:01",13,1,2,"Wednesday ","HOSP","Passer domesticus","Perch","8:46","European linden","Tilia x europaea","61","TUVU, garbage truck, 2 cats, wrong side of street at start.","Rest","Street","NA","NA"
"S14","29/05/2024","8:41","9:01",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","8:57","Blue spruce","Picea pungens","44","","Territory_defense","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","CHSP","Spizella passerina","Vocalize","9:24","White spruce","Picea glauca","20","Moved street segment away from intersection due to lack of trees. Heard REVI, BHVI, and HOFI among many others. Freeze throw a couple years ago, had to cut down lots of big maples due to cracks down their middles. Make it out here at 6am. Possible ARU location.","Territory_defense","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","YBFL","Empidonax flaviventris","Vocalize","9:31","White spruce","Picea glauca","20","","Territory_defense","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","YBFL","Empidonax flaviventris","Sally","9:31","Norway maple","Acer platanoides","76","","Foraging","Street","NA","NA"
"S18","29/05/2024","9:20","9:40",13,1,2,"Wednesday ","HOSP","Passer domesticus","Glean","9:37","White spruce","Picea glauca","20","","Foraging","Street","NA","NA"
